name,url,upwork
Sodimac,https://ar.linkedin.com/company/sodimac-chile?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
KUKA,https://ar.linkedin.com/company/kukaglobal?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Naranja X,https://ar.linkedin.com/company/naranjax?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
AXION energy,https://ar.linkedin.com/company/axion-energy?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Airswift,https://ar.linkedin.com/company/airswift?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Leonardo,https://ar.linkedin.com/company/leonardo_company?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Aditi Consulting,https://ar.linkedin.com/company/aditiconsulting?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
BairesDev,https://ar.linkedin.com/company/bairesdev?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Discovery Inc,https://ar.linkedin.com/company/discoveryinc?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Unisys,https://ar.linkedin.com/company/unisys?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
UNOPS,https://ar.linkedin.com/company/unops?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Meliá Hotels International,https://ar.linkedin.com/company/melia-hotels-international?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Carrefour Argentina,https://ar.linkedin.com/company/carrefour-argentina-s-a-?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Paramount,https://ar.linkedin.com/company/paramountco?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Andreani Grupo Logístico,https://ar.linkedin.com/company/grupologisticoandreani?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Techint Ingeniería y Construcción,https://ar.linkedin.com/company/techintec?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Grupo OSDE,https://ar.linkedin.com/company/osde?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ZS,https://ar.linkedin.com/company/zs-associates?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Farmacity,https://ar.linkedin.com/company/farmacity-s.a.?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
APTITUD,https://ar.linkedin.com/company/aptitudsf-consulting-services?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ICBC Argentina,https://ar.linkedin.com/company/icbc-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Accenture Argentina,https://ar.linkedin.com/company/accenturear?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Despegar,https://ar.linkedin.com/company/despegar?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
B. Braun Group,https://ar.linkedin.com/company/bbraun-group?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Aeropuertos Argentina,https://ar.linkedin.com/company/aeropuertos-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
PETRONAS Lubricants International,https://ar.linkedin.com/company/petronas-lubricants-international?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Grupo Techint,https://ar.linkedin.com/company/techint?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Cervecería y Maltería Quilmes,https://ar.linkedin.com/company/cerveceriaymalteria-quilmes?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
NTT DATA,https://ar.linkedin.com/company/nttdata?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Perficient,https://ar.linkedin.com/company/perficient?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Monks,https://ar.linkedin.com/company/monks?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Minerva Foods,https://ar.linkedin.com/company/minerva-sa?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Ampstek,https://ar.linkedin.com/company/ampstek?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Laboratorios Bagó,https://ar.linkedin.com/company/laboratorios_bago?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Ualá,https://ar.linkedin.com/company/ual-?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
TIVIT,https://ar.linkedin.com/company/tivit?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
SC Johnson,https://ar.linkedin.com/company/scjohnson?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Qualitest,https://ar.linkedin.com/company/qualitest?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Tenneco,https://ar.linkedin.com/company/tenneco?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Swiss Medical,https://ar.linkedin.com/company/swiss_medical?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Bumeran,https://ar.linkedin.com/company/bumeran-com?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Toyota Argentina,https://ar.linkedin.com/company/toyota-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ManpowerGroup Argentina,https://ar.linkedin.com/company/manpowergroup-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Mastellone Hnos. S.A.,https://ar.linkedin.com/company/mastellone-hnos.-s.a.?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Veeam Software,https://ar.linkedin.com/company/veeam-software?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Stellantis South America,https://ar.linkedin.com/company/stellantislatam?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Randoncorp,https://ar.linkedin.com/company/randoncorp?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
CHEP,https://ar.linkedin.com/company/chep?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Dia Argentina,https://ar.linkedin.com/company/dia-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Teradata,https://ar.linkedin.com/company/teradata?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Lenovo,https://ar.linkedin.com/company/lenovo?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Getronics,https://ar.linkedin.com/company/getronics?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Lazard,https://ar.linkedin.com/company/lazard?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Firmenich,https://ar.linkedin.com/company/firmenich?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Banco Galicia,https://ar.linkedin.com/company/bancogalicia?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
PwC Acceleration Centers,https://ar.linkedin.com/company/pwc-acceleration-centers?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
